VSPC,Primary Captain District,Primary DC % of Precincts,Secondary Captain District,Secondary DC % of Precincts
Arapahoe Community College,4,0.8,6,0.4167
Arapahoe County CentrePoint Plaza,15,0.2727,,
Arapahoe County Fairgrounds,29,0.6364,,
Arapahoe County Lima Plaza,11,0.6364,9,0.1538
Aurora Center for Active Adults,14,0.5455,,
Aurora Public Schools Educational Service Center 4,13,0.6,,
Aurora Public Schools Professional Learning & Conference Center,16,0.25,,
Beck Recreation Center,17,0.1667,,
Bemis Public Library,5,0.9091,3,0.4
Central Recreation Center,27,0.5385,22,0.3571
Cherry Creek School District Instructional Support Facility,32,0.7692,28,0.3333
City of Aurora Municipal Center,16,0.375,,
City of Glendale Municipal Building,19,0.25,,
City of Sheridan Municipal Building,1,0.3,,
Community College of Aurora CentreTech Campus,16,0.25,,
Community College of Aurora Lowry Campus,13,0.1,,
Cook Park Recreation Center,20,1.0,,
Englewood Civic Center,1,0.7,2,0.6667
Greenwood Village City Hall,10,0.7692,12,0.4167
Heather Gardens,23,1.0,,
Kelver Library,35,0.3636,,
"Martin Luther King, Jr. Library",13,0.1,,
Mission Viejo Library,24,0.5,26,0.3846
Murphy Creek Golf Course,17,0.25,,
Parkside Village Retirement Resort,25,0.6364,,
Pickens Technical College,17,0.25,,
Smoky Hill Library,31,0.5556,,
Southglenn Library,8,0.5833,7,0.5455
Tallyns Reach Library,34,0.75,,
The Avenue Church,21,0.5385,,
Trails Recreation Center,33,0.7778,30,0.6667
Vista PEAK,18,0.5,,
