VSPC_Name,Geo_Count,Geo_Voters,Rebalanced_Count,Rebalanced_Voters
Smoky Hill Library,27,28927,27,28927
Greenwood Village City Hall,29,28756,26,27430
The Avenue Church,70,79056,31,25675
Tallyns Reach Library,21,22039,20,20050
Englewood Civic Center,29,25660,25,19785
Southglenn Library,22,19688,22,19688
City of Aurora Municipal Center,39,38245,24,19126
Heather Gardens,27,29592,20,18901
Cook Park Recreation Center,21,20709,20,18792
Arapahoe Community College,19,18678,19,18678
Bemis Public Library,18,17318,18,17318
Cherry Creek School District Instructional Support Facility,16,14779,16,14779
Aurora Center for Active Adults,14,14285,14,14285
Arapahoe County CentrePoint Plaza,1,404,9,12511
Mission Viejo Library,5,5267,9,12506
City of Sheridan Municipal Building,5,5275,11,12436
Pickens Technical College,6,6308,10,12326
Beck Recreation Center,3,3105,10,12237
Parkside Village Retirement Resort,3,1294,9,12194
Community College of Aurora CentreTech Campus,2,2301,10,12167
Arapahoe County Fairgrounds,7,3169,14,12166
Arapahoe County Lima Plaza,11,10656,12,12040
Central Recreation Center,1,96,12,11724
Aurora Public Schools Professional Learning & Conference Center,2,1067,8,7681
Aurora Public Schools Educational Service Center 4,2,1250,4,4502
Kelver Library,3,4433,3,4433
